,NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,PT08.S1(CO)
81,-200,13.6,1102,205,588,72,1989,1257,22,75.9,1.9817,1240
82,-200,18.3,1247,-200,560,-200,1861,1258,20.5,61.5,1.4673,1282
83,-200,3.9,707,159,963,97,1005,657,8.8,50.9,0.5781,945
84,-200,24.5,1416,1099,436,240,1614,1941,5.3,77.4,0.6954,1605
85,-200,43.9,1851,1184,341,171,2405,2069,15.4,73,1.2688,1816
86,98,6.3,827,73,936,88,1488,1110,16.2,54.2,0.9933,1141
87,-200,9.6,962,108,776,104,1674,1030,26.2,39.7,1.3249,1062
88,-200,2.8,639,25,1267,22,1538,655,19.8,64.7,1.4769,813
89,-200,3.7,694,112,1153,70,1240,594,21.5,45.6,1.1528,847
90,-200,23.1,1379,864,496,137,1767,1567,10,75,0.9179,1508
91,-200,9.9,972,-200,650,-200,1529,1181,20.3,64.2,1.5063,1171
92,-200,2.5,620,91,820,62,1238,612,18.6,62.1,1.3224,996
93,-200,12.2,1057,122,797,113,1772,863,33,26,1.2877,1101
94,-200,13.7,1107,297,579,91,1657,1407,21.3,66.1,1.6556,1251
95,-200,21.5,1338,729,509,183,1514,1816,11.5,60.9,0.8249,1391
96,-200,16.9,1206,317,533,111,1785,1432,25.4,50.8,1.6275,1326
97,-200,12,1048,171,719,93,1624,1135,27.1,32.4,1.1462,1028
98,36,0.9,494,39,1613,53,1185,367,13.5,50.1,0.7706,865
99,-200,10.6,998,368,664,133,1434,1101,20.8,45.5,1.1054,1149
100,-200,10.4,992,189,722,93,1580,727,31.1,28.6,1.2718,996
101,-200,7,858,136,742,79,1544,780,22.8,58.5,1.5992,953
102,-200,6,810,327,768,172,1070,1158,6.3,59.8,0.5761,1100
103,-200,9.4,955,146,758,84,1671,1043,18.5,57.4,1.2076,1004
104,-200,-200,-200,469,-200,111,-200,-200,-200,-200,-200,-200
105,-200,1.4,533,-200,1566,-200,1110,360,17.4,30.2,0.5945,771
106,-200,17.5,1226,579,624,207,1126,1460,9.1,19.2,0.2225,1148
107,-200,11,1015,416,702,125,1287,1063,9.4,67.7,0.8018,1136
108,-200,18.3,1249,158,698,125,1986,1132,28.3,31.7,1.1968,1197
109,-200,3.1,661,38,1043,59,1398,701,18.4,51.7,1.0819,956
110,-200,-200,-200,340,-200,208,-200,-200,-200,-200,-200,-200
111,-200,3.6,689,177,995,128,838,719,4.3,41.1,0.3451,902
112,-200,2.3,609,213,1122,109,660,472,3.1,29.1,0.224,798
113,-200,2.4,613,131,919,104,1007,551,8,65,0.6991,1017
114,-200,1.7,563,26,1316,8,1106,451,15.4,53.9,0.9334,761
115,-200,2.7,630,29,1061,35,1504,468,25.1,62.4,1.9602,910
116,-200,2.5,616,113,969,90,893,875,3.8,56.8,0.4614,930
117,-200,11.6,1035,536,623,132,1296,1256,5.8,81.3,0.7568,1232
118,-200,6.1,818,254,842,156,1034,933,5,54.5,0.4788,1017
119,-200,7.9,893,-200,828,-200,1374,768,31.5,21.5,0.9768,948
120,-200,30.1,1553,514,449,166,2130,1745,23.6,54.4,1.5687,1636
121,-200,16.3,1188,303,676,136,1681,1125,30.2,30.2,1.2744,1162
122,-200,5.9,805,240,726,128,1233,938,15.6,54,0.9515,1124
123,-200,2.5,623,125,1096,78,847,831,2.8,55.2,0.4177,874
124,-200,-200,-200,266,-200,129,-200,-200,-200,-200,-200,-200
125,-200,11.6,1035,107,726,112,1779,1059,27.7,39.3,1.4372,1140
126,-200,12.5,1067,151,642,125,1879,1158,27.3,47.1,1.6807,1210
127,-200,19.8,1290,523,475,144,1571,1568,10.8,69.5,0.8995,1384
128,-200,6.1,818,289,777,150,966,1210,7.3,43.8,0.4505,1054
129,-200,6.4,829,242,779,71,1246,944,11.6,79.7,1.0858,1005
130,143,8.8,933,112,976,87,1454,777,13.4,41,0.6292,1093
131,-200,6.9,851,349,766,109,1307,959,14,75.9,1.2064,1088
132,-200,14.4,1129,132,765,94,1728,1023,23.8,31.7,0.9212,1140
133,-200,5,762,223,850,131,948,1155,3,60.2,0.4639,1001
134,-200,2.4,612,-200,1266,-200,1411,506,14.2,72.3,1.1632,915
135,-200,2.8,639,-200,891,-200,1080,794,8.4,67.1,0.7411,968
136,-200,8.5,920,92,767,62,1534,946,22.2,45,1.1867,924
137,-200,3.6,688,161,897,115,947,882,3.8,66.2,0.5359,942
138,-200,6.9,851,132,764,69,1465,1002,19,70.8,1.5417,1035
139,-200,2.7,631,148,985,89,908,884,4.5,56.3,0.48,928
140,-200,7.9,896,456,673,205,1115,1140,6.9,48.8,0.4903,1183
141,-200,2.9,646,156,1045,110,731,421,3.7,35,0.2823,812
142,141,7.7,885,112,994,87,1439,751,16.3,38.1,0.7006,1009
143,-200,9.2,947,90,733,74,1671,813,33.3,32.8,1.6527,1059
144,-200,5.7,798,73,854,84,1459,780,28,34.9,1.2989,960
145,-200,2.8,642,140,1027,101,836,545,2.5,51,0.3778,879
146,-200,10.2,985,99,779,97,1572,1020,24.3,36.3,1.0852,981
147,-200,3.2,665,188,900,112,955,879,1.4,76.3,0.5261,940
148,-200,2.9,644,17,1235,23,1487,524,19.6,68.4,1.5443,830
149,-200,9,938,147,700,87,1500,1098,22.1,61.3,1.6053,1138
150,-200,4,712,77,1303,77,1343,548,18.9,42.1,0.9081,843
151,-200,24.8,1425,332,595,131,2264,1495,20.5,48.2,1.1474,1339
152,-200,7.5,877,327,1648,107,1313,929,11.3,83.1,1.1089,1060
153,-200,11,1013,87,672,60,1932,1034,26.4,61.7,2.0929,1139
154,-200,50.6,1980,1389,325,220,2562,2342,12.4,74.7,1.0741,2008
155,-200,10.5,995,162,778,149,1681,821,37.1,23,1.4229,1105
156,-200,2.8,641,126,1113,76,957,591,11.2,42,0.5582,800
157,-200,2.8,637,141,1138,74,1113,742,15,52.8,0.8929,765
158,-200,2.4,613,124,1075,97,810,579,3.3,47.4,0.3716,866
159,-200,5.3,776,43,947,56,1431,498,38.1,21.1,1.3863,858
160,-200,4.2,724,204,832,138,893,1285,4.4,43.3,0.3656,1030
161,-200,8.5,921,257,589,154,1336,1261,13.5,63.8,0.9797,1217
162,-200,17.9,1238,261,654,171,1709,1359,31.8,19.4,0.8936,1088
163,-200,11.8,1042,140,834,95,1888,998,24.5,51,1.5454,1109
164,-200,6.5,833,-200,853,-200,1470,1015,24.8,48.2,1.4883,1097
165,-200,4.2,719,153,858,86,1189,845,11.8,76.3,1.0547,1034
166,-200,13,1085,550,526,213,1268,2023,8.3,53.3,0.5843,1428
167,-200,19.3,1278,796,483,211,1399,1870,11.1,38.4,0.5066,1415
168,151,9.3,953,107,962,97,1514,790,13.7,49.5,0.7695,1065
169,-200,19.8,1291,718,482,138,1580,1817,10,82.6,1.0163,1449
170,-200,16.2,1186,-200,560,-200,1713,1493,22.5,55.6,1.499,1347
171,-200,2.5,620,120,986,90,904,598,4,56.8,0.4688,905
172,-200,17.6,1229,575,470,207,1488,1943,10.8,52,0.6738,1522
173,-200,4,711,-200,867,-200,1384,909,20.5,64,1.5247,994
174,-200,6.8,850,57,802,79,1531,1173,27.2,36.9,1.3147,1015
175,,,,,,,,,,,,
176,-200,4.1,716,192,930,115,893,643,6.6,41.2,0.4046,922
177,173,9,938,109,827,87,1597,1243,16.3,55.3,1.0178,1161
178,-200,0.9,494,73,1324,58,754,395,1.6,51,0.3561,801
179,-200,16.6,1198,280,671,183,1907,1413,32.6,28,1.3566,1218
180,-200,3.6,686,26,908,40,1439,651,22.9,56.1,1.5492,884
181,-200,5.1,767,248,888,167,920,669,4.2,49.5,0.4118,932
182,-200,8.1,904,44,720,74,1692,777,26.4,52.2,1.7708,1075
183,299,-200,-200,215,-200,117,-200,-200,-200,-200,-200,-200
184,-200,4.2,719,-200,947,-200,1170,839,11.6,73.4,0.999,911
185,151,9.1,943,115,883,103,1604,767,18.1,42.2,0.8679,1109
186,-200,6.8,850,395,868,165,1213,852,8,81.6,0.8755,973
187,-200,24.8,1423,-200,767,-200,1986,1385,27,23.5,0.8256,1320
188,-200,4.3,726,46,1056,61,1382,440,35,22.4,1.2371,838
189,-200,2.9,647,50,1046,61,1500,740,25.1,48,1.5115,887
190,24,2.3,609,45,1579,60,1276,620,10.7,59.7,0.7648,1094
191,-200,0.6,449,42,1666,31,800,314,10.7,36.1,0.4639,679
192,-200,5.5,787,-200,822,-200,1147,974,8.1,78.1,0.8452,934
193,-200,9,941,220,680,68,1653,1040,24.8,59.6,1.8351,1229
194,-200,5.4,786,282,1038,101,1145,850,14.7,52.5,0.8716,950
195,-200,8.9,934,333,751,116,1085,1208,12.6,39.9,0.5804,1101
196,-200,3,653,228,944,146,885,931,5.9,45.1,0.4211,991
197,-200,18.3,1249,363,582,167,1842,1300,24.6,54,1.6461,1284
198,-200,4.9,759,-200,871,-200,1040,775,11.3,45.4,0.6063,928
199,-200,1.3,527,10,1242,17,1458,427,22.5,69.1,1.8578,834
200,-200,22.3,1360,529,458,113,1944,1609,22,69.2,1.8061,1506
201,-200,6.3,827,56,827,79,1513,1163,25.4,41,1.3079,989
202,-200,6.7,842,268,849,140,858,676,2.1,36.6,0.2634,922
203,125,6.8,848,102,1023,96,1421,1003,11.8,50.8,0.7042,1108
204,-200,14.9,1144,-200,575,-200,1436,1271,13.1,54.3,0.8167,1233
205,-200,13.6,1104,208,727,108,1721,1391,17.6,43.3,0.8647,1187
206,-200,9.6,962,397,778,132,1058,1153,6,47.6,0.4488,1058
207,-200,21.4,1336,999,479,211,1483,1985,5.1,64.3,0.5697,1488
208,-200,4.4,735,112,878,44,1353,933,16.5,75.5,1.4056,891
209,-200,7.2,864,65,809,79,1532,1231,28.4,32.5,1.2361,1011
210,-200,10.4,993,-200,662,-200,1287,1058,13,53.9,0.8029,1111
211,-200,0.8,482,57,1426,41,1027,457,14.5,62.9,1.0335,814
212,-200,9.5,959,373,689,114,1232,1231,9.3,64.5,0.7554,1152
213,-200,18.3,1247,667,558,182,1360,1571,0.9,59.1,0.3913,1317
214,-200,14.3,1125,241,574,81,1704,1462,24.5,54.5,1.6514,1235
215,-200,9.7,967,119,930,94,1649,941,19.1,43.8,0.9556,1392
216,,,,,,,,,,,,
217,-200,31,1573,578,491,204,1997,1643,25.3,33,1.0473,1440
218,-200,2.6,628,104,876,64,1173,782,12.3,74.2,1.0583,936
219,-200,12.9,1080,-200,846,-200,1787,1070,21.1,48.1,1.1864,1076
220,-200,-200,-200,641,-200,168,-200,-200,-200,-200,-200,-200
221,-200,4.8,754,64,1086,64,1436,602,24.4,32.7,0.9863,948
222,-200,2.2,600,-200,1233,-200,1375,485,15,61.5,1.0418,983
223,-200,16.5,1195,205,815,126,1848,1078,35.9,18.9,1.0999,1054
224,-200,27,1479,900,419,215,1685,2014,5.7,52.5,0.4851,1508
225,-200,7.4,875,81,797,61,1738,1060,26.4,53.1,1.7987,1009
226,-200,26.5,1466,320,518,109,2400,1687,16.9,66.1,1.2613,1597
227,-200,7.6,884,248,704,136,1173,983,4,80.4,0.663,1127
228,-200,6.9,853,98,843,39,1499,1084,26,46.4,1.5375,1014
229,57,3,651,60,1145,74,1380,891,14.5,58,0.9488,986
230,179,8.6,924,102,937,73,1542,790,21.8,33.9,0.8771,1125
231,-200,2.4,612,83,1169,62,852,703,4.8,49.9,0.4325,848
232,-200,32.4,1605,980,383,212,1870,2186,12.2,44.8,0.6342,1713
233,-200,2.7,632,-200,954,-200,1316,803,24.2,50.6,1.5011,850
234,-200,23.6,1392,575,476,128,1832,1645,15.7,72.7,1.2872,1501
235,51,6.5,836,131,1205,116,1490,1110,11.2,59.6,0.7888,1272
236,220,14.3,1126,166,812,128,1722,1205,11.5,58.2,0.7867,1309
237,-200,15.8,1174,-200,577,-200,1824,1426,30.8,34.8,1.5165,1203
238,-200,10.5,997,-200,648,-200,1587,1155,24.2,51.9,1.5426,1243
239,-200,15.3,1160,403,568,79,1755,1231,19.6,75.3,1.6981,1260
240,-200,12.1,1052,148,671,137,1780,824,37.5,24.4,1.5515,1117
241,-200,10.5,997,97,800,87,1688,924,29.2,27,1.081,1237
242,-200,2.1,595,120,991,100,1025,771,5,82.8,0.7273,932
243,-200,7.4,875,75,915,80,1594,744,20.9,48.9,1.1945,920
244,-200,0.9,488,63,1223,49,742,326,11.2,38.3,0.5099,815
245,-200,2.6,626,39,1088,41,1471,563,24.7,55.9,1.7114,835
246,-200,12.1,1052,354,551,172,1297,1205,17.8,33.3,0.6741,1258
247,-200,9.6,964,-200,729,-200,1454,1045,17.4,62.3,1.2282,1063
248,-200,-200,-200,169,-200,69,-200,-200,-200,-200,-200,-200
249,-200,8.6,924,69,892,76,1683,777,37,20.1,1.2423,1062
250,-200,8.3,911,-200,715,-200,1517,969,27.4,41.8,1.5056,1168
251,-200,8,901,-200,813,-200,1589,661,39.1,21.7,1.5031,1003
252,-200,8.8,931,126,917,69,1745,884,18.2,62.3,1.2903,946
253,-200,3.1,655,146,990,69,1097,816,12,71.9,1.003,893
254,-200,14.4,1130,436,580,129,1506,1471,15.4,59.6,1.0375,1278
255,-200,-200,-200,728,-200,190,-200,-200,-200,-200,-200,-200
256,-200,4.5,737,166,910,106,977,922,4.7,62.3,0.5368,951
257,-200,3.5,683,109,846,71,1144,693,13.7,60.4,0.939,1036
258,-200,11.3,1026,359,657,115,1374,1209,14.5,60.4,0.9909,1130
259,-200,16.4,1192,531,499,148,1501,1637,13.4,57.9,0.8895,1363
260,-200,3.5,684,132,788,94,1149,666,13.2,64.8,0.9801,1027
261,-200,4.1,716,-200,997,-200,1205,614,15.6,55.9,0.985,834
262,-200,15.1,1153,757,542,198,1395,1506,7.1,77.3,0.7826,1392
263,-200,17.1,1214,658,472,227,1435,2026,11.1,52,0.6869,1556
264,-200,50.7,1981,846,448,215,1567,2346,5.4,55.1,0.497,1493
265,-200,5.7,796,288,900,146,767,699,9.6,18.8,0.2246,905
266,-200,5.4,786,-200,1073,-200,1375,523,19.8,35.4,0.8099,903
267,-200,6.9,851,367,687,98,1101,1085,4.3,82.9,0.6968,1104
268,-200,15.4,1161,614,487,178,1576,1583,15.9,56.6,1.0147,1403
269,-200,4.4,733,176,901,72,1191,803,13,67.6,1.009,969
270,-200,19.4,1280,341,595,149,1791,1093,34.6,22,1.189,1133
271,-200,13.3,1094,149,817,115,1659,854,35.4,15.3,0.8613,983
272,926,28.1,1507,289,533,149,2271,1895,18.3,44.1,0.9183,1765
273,-200,3.4,674,169,926,88,1032,882,7.9,69.3,0.7413,972
274,-200,15.9,1176,318,584,69,1723,2150,20.1,71.3,1.6564,1353
275,-200,4.4,735,189,915,121,942,945,3.1,53.5,0.4123,956
276,1084,33.7,1636,302,494,129,2560,1806,16.2,52.5,0.9576,1757
277,-200,10.2,985,98,727,108,1708,1001,36.8,27.2,1.6623,1108
278,592,19.3,1278,275,682,114,1928,1481,11.2,57,0.7544,1408
279,185,12.4,1062,138,928,103,1606,850,20.2,28.5,0.6682,1152
280,-200,2.8,642,39,1057,48,1270,592,20.2,47.1,1.1021,786
281,-200,6.9,853,-200,979,-200,1457,901,13.7,59.7,0.9285,1021
282,-200,-200,-200,807,-200,162,-200,-200,-200,-200,-200,-200
283,-200,7.9,895,175,758,79,1468,1043,19.8,63.7,1.4524,1055
284,-200,1,497,72,1251,66,912,442,4.2,75.9,0.6311,860
285,-200,6.5,836,79,926,73,1615,901,17.7,62,1.2458,1049
286,-200,4.6,742,179,911,82,1180,899,16.7,54.7,1.0311,997
287,-200,6.1,816,38,917,65,1418,506,40,20,1.4517,938
288,-200,12.8,1076,-200,788,-200,1653,1032,21.4,28.7,0.7231,1164
289,145,10.7,1002,161,907,119,1677,1262,19.3,38.3,0.8474,1416
290,-200,14.3,1125,363,846,149,1511,1016,33.4,20.3,1.027,1146
291,212,11,1014,172,781,108,1666,1219,17.6,46.7,0.9324,1223
292,-200,11.1,1017,389,1065,147,1077,929,17.3,20.4,0.4011,948
293,-200,25.9,1452,531,521,108,2123,1541,18.5,68.9,1.4565,1376
294,-200,2.2,596,68,1056,57,1118,541,14.8,63.5,1.0592,988
295,-200,6.5,835,61,1078,76,1437,807,19.2,42,0.9248,869
296,-200,8.6,926,351,902,113,1460,949,23.5,41.6,1.1884,951
297,-200,4.6,744,231,825,167,1053,1020,4.2,77.9,0.6479,1016
298,-200,2.9,647,117,956,100,1023,762,4,80.8,0.6666,949
299,-200,14.8,1144,154,651,115,1832,1216,33.1,28.3,1.4121,1156
300,-200,4.9,761,235,862,156,865,682,12.2,24,0.3392,973
301,-200,16.7,1200,321,648,135,1821,1489,21.7,42.4,1.0859,1137
302,83,3.9,705,100,1149,91,1324,612,11,58.9,0.7714,1040
303,-200,14.1,1120,137,735,126,1893,1095,37.9,23.2,1.502,1182
304,-200,11.7,1039,443,685,132,1183,1378,8.6,54.3,0.606,1216
305,-200,8.6,925,-200,701,-200,1753,1058,29.7,50.5,2.0767,1091
306,-200,10.1,983,129,950,97,1470,879,25.1,20.8,0.6516,1029
307,-200,28.7,1520,447,427,118,2166,1691,25.9,55.8,1.8347,1630
308,-200,22.3,1359,239,538,120,2337,1617,26.6,51.2,1.7565,1380
309,-200,20.7,1315,-200,512,-200,1954,1395,23.9,54.6,1.5936,1506
310,-200,5.9,807,219,819,115,1021,1005,3.7,68.9,0.5549,1003
311,-200,4.4,733,27,888,39,1605,755,24.9,63.5,1.9647,901
312,-200,3.2,663,45,1022,65,1337,671,20.5,41.2,0.9802,779
313,65,3.2,666,63,1266,80,1224,544,11.9,46.5,0.6449,960
314,-200,2.6,623,134,954,96,873,1011,2,60.8,0.4337,926
315,73,6.9,853,106,1010,93,1543,1174,14,57,0.9094,1239
316,-200,3,652,150,1025,96,833,547,2.9,48.7,0.3706,888
317,-200,24.2,1410,337,565,182,2199,1791,28.5,36.8,1.4128,1363
318,-200,7.9,897,63,901,76,1605,681,35.2,22.6,1.267,1042
319,190,14.4,1128,104,829,89,1716,1040,25.6,25.5,0.8234,1167
320,-200,21.6,1339,-200,525,-200,1870,1622,20.6,58.5,1.4054,1337
321,-200,12.4,1062,128,753,87,1825,1004,21.2,49.3,1.2271,1148
322,-200,14.8,1141,334,631,118,1766,1285,26.3,48.1,1.6199,1215
323,-200,4.6,744,-200,882,-200,899,1138,7.8,38.4,0.4085,1003
324,67,6.9,852,89,1008,101,1547,1164,15.3,61.4,1.058,1142
325,-200,14.6,1135,143,625,105,1887,1436,29.4,38.7,1.5581,1276
326,-200,2.1,592,95,992,85,1032,668,4.4,80.5,0.6825,938
327,22,1,496,-200,1613,-200,1066,381,14.2,36.1,0.5823,832
328,-200,26.1,1458,431,501,189,2059,1572,29,40.5,1.5949,1446
329,-200,21.4,1334,617,573,174,1747,1633,22.4,38.8,1.04,1310
330,-200,6.7,843,279,791,116,1297,866,16.9,56.5,1.0801,1014
331,-200,-200,-200,74,-200,85,-200,-200,-200,-200,-200,-200
332,-200,8.9,936,-200,808,-200,1535,866,25.4,36.2,1.1562,965
333,-200,5.5,787,57,986,56,1552,689,23.9,40.4,1.1787,1066
334,-200,36.3,1692,1220,402,252,1832,2415,6.2,56.9,0.5419,1701
335,-200,1.4,533,-200,1338,-200,1350,493,21,47.5,1.1666,735
336,-200,21.2,1329,221,670,178,2054,1320,38.9,18.8,1.29,1274
337,-200,1.8,569,14,1204,22,1396,429,25.6,46.8,1.5111,822
338,-200,4.8,751,199,918,135,792,591,12,19.3,0.2716,874
339,113,5.8,802,-200,916,-200,1481,1078,15.7,53.6,0.9483,1022
340,-200,3.7,691,52,1265,67,1182,517,19.1,25.9,0.5673,835
341,-200,6.2,821,321,797,194,942,949,8.6,38.1,0.4282,1055
342,-200,17.6,1227,312,595,162,1903,1845,29.8,33.1,1.3693,1381
343,152,13.7,1108,161,887,123,1712,1334,25.9,25.9,0.8503,1389
344,-200,18.8,1264,683,497,181,1408,1965,9.5,47.2,0.5589,1451
345,-200,10.3,987,429,692,119,1324,1229,16.2,54.5,0.9956,1177
346,-200,2.5,620,44,1102,51,1372,725,16.3,59.8,1.1042,754
347,-200,5.9,807,276,669,149,1243,1042,13.6,63.5,0.9857,1150
348,-200,6.2,823,-200,827,-200,1027,893,7.2,50.2,0.5118,987
349,-200,5.4,785,148,989,56,1224,780,12.2,63.2,0.8964,835
350,-200,17.8,1234,180,796,125,1735,1167,23.5,20.8,0.5937,1215
351,-200,7.4,873,-200,873,-200,1135,915,3.7,76.2,0.6137,915
352,-200,16.3,1188,237,557,97,2033,1412,24.5,66.2,2.0011,1229
353,-200,8,898,153,858,113,1671,921,29.9,33.2,1.3793,1049
354,-200,29.2,1532,1040,1009,185,1972,1718,12.3,78.8,1.1279,1547
355,-200,11.4,1029,252,650,126,1612,1192,27.2,37.4,1.3279,1068
356,-200,8.3,913,-200,787,-200,1373,607,38.3,19.3,1.2736,1029
357,-200,18.3,1247,583,531,221,1650,1375,18.3,52.8,1.1016,1375
358,-200,4,713,21,883,26,1584,723,23.5,63.6,1.8223,936
359,-200,1,501,-200,1281,-200,1189,385,23.9,47.4,1.3881,828
360,-200,5.6,795,103,807,51,1494,834,24.1,59,1.7449,1055
361,-200,6.8,850,-200,760,-200,1411,1001,21.7,60.2,1.5442,1036
362,-200,-200,-200,798,-200,161,-200,-200,-200,-200,-200,-200
363,-200,4.6,743,41,1052,54,1370,739,16.7,43.4,0.8193,911
364,-200,1.1,507,65,1483,44,811,353,10.6,34.9,0.4455,692
